district,month,month_dt,ASSI_before,ASSI_after,risk_probability_before,risk_probability_after
Aurangabad,2025-09,2025-09-01,46.14,44.9,0.9319176675836995,0.9450170506822405
Aurangabad,2025-10,2025-10-01,42.42,41.26,0.9532496584668408,0.9498360627044565
Aurangabad,2025-11,2025-11-01,50.42,48.58,0.12616943182034934,0.3588576987249326
Aurangabad,2025-12,2025-12-01,32.74,31.45,0.1286131098521486,0.07871256994602222
Aurangabad,2026-01,2026-01-01,24.5,24.37,0.16073899353860224,0.16073899353860224
Beed,2025-03,2025-03-01,34.35,33.56,0.04677942967745487,0.04580180205465527
Beed,2025-04,2025-04-01,31.45,30.79,0.4003540874578705,0.3051929995040077
Beed,2025-05,2025-05-01,37.54,36.94,0.8753477606333151,0.8532817375763144
Beed,2025-06,2025-06-01,39.35,38.51,0.13965421658622645,0.6162622509655687
Beed,2025-07,2025-07-01,35.44,34.8,0.46517161315332917,0.34925679351041033
Beed,2025-08,2025-08-01,33.04,32.61,0.7731681515569769,0.6979972745463401
Beed,2025-09,2025-09-01,48.19,46.83,0.9362291974516057,0.9352603938702184
Beed,2025-10,2025-10-01,40.72,39.71,0.9426909843859692,0.9139962635382357
Beed,2025-11,2025-11-01,48.29,46.55,0.058351145662329955,0.3611803735121702
Beed,2025-12,2025-12-01,25.34,24.37,0.15301101391729893,0.12262608647163777
Beed,2026-01,2026-01-01,26.24,26.16,0.16993332760930965,0.16993332760930965
Bhandara,2025-03,2025-03-01,30.89,30.59,0.010456537186334821,0.010456537186334821
Bhandara,2025-04,2025-04-01,29.67,29.45,0.07817506068148261,0.1013838822587317
Bhandara,2025-05,2025-05-01,30.5,30.29,0.0353300769717349,0.06128638448548082
Bhandara,2025-06,2025-06-01,32.63,32.26,0.03295989880124218,0.06578606136457303
Bhandara,2025-07,2025-07-01,28.86,28.73,0.05430744213780769,0.05430744213780769
Bhandara,2025-08,2025-08-01,29.01,28.88,0.009170361028452333,0.06325332526317695
Bhandara,2025-09,2025-09-01,33.62,33.19,0.02008646995261232,0.04798221916966748
Bhandara,2025-10,2025-10-01,32.92,32.49,0.4429616226031451,0.6644042517230891
Bhandara,2025-11,2025-11-01,34.21,33.64,0.1299398671580486,0.7622844887258341
Bhandara,2025-12,2025-12-01,29.33,28.96,0.13979058501045885,0.10717954029095529
Bhandara,2026-01,2026-01-01,26.35,26.33,0.03812701691044567,0.03812701691044567
Bid,2025-03,2025-03-01,27.15,27.13,0.010456537186334821,0.010456537186334821
Bid,2025-05,2025-05-01,27.06,27.06,0.042835742485637894,0.051152943335394066
Bid,2025-06,2025-06-01,27.87,27.81,0.0040294073166691185,0.0040294073166691185
Bid,2025-07,2025-07-01,27.47,27.44,0.042835742485637894,0.051152943335394066
Bid,2025-08,2025-08-01,27.41,27.38,0.06325332526317695,0.057121739402764986
Bid,2025-09,2025-09-01,27.86,27.8,0.005032105855004978,0.005600851373795997
Bid,2025-10,2025-10-01,28.25,28.16,0.007981467336107594,0.02484603493624809
Bid,2025-11,2025-11-01,28.7,28.55,0.005600851373795997,0.042357430314116096
Bid,2025-12,2025-12-01,26.65,26.58,0.10292886537197468,0.07813600149722642
Bid,2026-01,2026-01-01,26.86,26.86,0.03914499846153159,0.03914499846153159
Buldana,2025-03,2025-03-01,27.52,27.48,0.010456537186334821,0.010456537186334821
Buldana,2025-04,2025-04-01,27.66,27.61,0.006437437311513408,0.009170361028452333
Buldana,2025-05,2025-05-01,27.82,27.76,0.006437437311513408,0.009170361028452333
